"sidoNm","name","address","beerType","desc","naverUrl","homepageUrl","x","y"
"강원","CRAFTROOT","강원 속초시 관광로 418","브루펍",,"https://map.naver.com/v5/entry/place/814389083",,"128.5377122300325","38.19724237457138"
"강원","버드나무 브루어리","강원 강릉시 경강로 1961","브루펍",,"https://map.naver.com/v5/entry/place/37090227",,"128.88439808957455","37.74812404347792"
"강원","화이트 크로우 브루잉","강원 평창군 방림면 고원로 65","브루펍",,"https://map.naver.com/v5/entry/place/1621877893",,"128.2515424307895","37.47598350636315"
"강원","몽트비어","강원 속초시 학사평길 7-1","브루펍",,"https://map.naver.com/v5/entry/place/1557846495",,"128.52809345061576","38.20435649693679"
"강원","스퀴즈브루어리","강원 춘천시 공지로 353","브루펍",,"https://map.naver.com/v5/entry/place/1927298210",,"127.7270367062396","37.86982852645813"
"강원","아리랑 브루어리","강원 정선군 신동읍 예미2길 26-55","브루펍",,"https://map.naver.com/v5/entry/place/1134919561",,"128.65135893977404","37.21507528676504"
"강원","구스범스","강원 춘천시 우묵들길 8","탭룸",,"https://map.naver.com/v5/entry/place/1140773629",,"127.72362818602328","37.86500050926922"
"강원","감자아일랜드","강원 춘천시 사우로 163","브루펍",,"https://map.naver.com/v5/entry/place/1245083196",,"127.74294503233882","37.90739745352346"
"강원","강릉브루어리 바이 현","강원 강릉시 율곡초교길11번길 9 ","브루펍",,"https://map.naver.com/v5/entry/place/1832471577",,"128.87972749036146","37.767578310540515"
"강원","감자아일랜드 온의점","강원 춘천시 방송길 77 ","탭룸","감자로 맥주를 빚는 감자아일랜드의 2호점 펍입니다.","https://map.naver.com/v5/entry/place/1975966576",,"37.8694788164144","127.72047703505"
"경기","동두천브루어리","경기 동두천시 중앙로 293 2층","브루펍",,"https://map.naver.com/v5/entry/place/1024733776",,"127.0543853141311","37.90772475075852"
"경기","크로디","경기 오산시 오산로 252 1층","브루펍",,"https://map.naver.com/v5/entry/place/1143620616",,"127.06873129105175","37.14944063784255"
"경기","크래프트인하우스 비어탭룸","경기 성남시 수정구 위례서일로1길 7 1층","탭룸",,"https://map.naver.com/v5/entry/place/1804872125",,"127.1373951217279","37.46652483831196"
"경기","카브루_상색_브루어리","경기 가평군 가평읍 연갈길 20 ","브루펍",,,,"127.47868479437872","37.79453240146176"
"경기","댕크야드 레코드바","경기 하남시 미사강변중앙로 223 3층 304호","탭룸",,"http://naver.me/xZD0zlCl",,"127.18837958084629","37.56660660866212"
"경기","64앨리스탭하우스","경기 평택시 평택로64번길 21-5","탭룸",,"http://naver.me/59j8AB00",,"127.08618608302154","36.99357388956807"
"경기","노군맥주","경기 수원시 팔달구 아주로13번길 22 1층","탭룸",,"http://naver.me/GyeyrTd1",,"127.04267819206676","37.276176514428606"
"경기","베베양조","경기 광주시 용샘길 35-1","브루펍",,"http://naver.me/G8U3OfIQ",,"127.23245986077812","37.429471646521755"
"경기","그레이트이스트","경기 수원시 영통구 월드컵로179번길 14-12 2층","탭룸",,"http://naver.me/5qRnvVN2",,"127.04490621150434","37.27845191388838"
"경기","노군수제맥주 동탄점","경기 화성시 동탄반송2길 25-5","탭룸",,"http://naver.me/GeW7pe0E",,"127.06482395897298","37.20942145913365"
"경기","플레이그라운드","경기 고양시 일산서구 이산포길 246-13 1층","브루펍",,"https://map.naver.com/v5/entry/place/36862822?",,"126.7021767713445","37.6677399293367"
"경기","굿맨브루어리","경기 구리시 동구릉로389번길 46-4","브루펍",,"https://map.naver.com/v5/entry/place/37371746",,"127.1396419967119","37.63283956217038"
