"idx","sidoNm","name","naverUrl","address","beerType","desc","homepage","x","y"
159,대전,두탭스,http://naver.me/Fk5atkiw,대전 중구 중앙로130번길 37-14,탭룸,"괴즈, 람빅 종류 상당량 보유중.",https://www.instagram.com/dotapscraft/,"127.42578938356881","36.326632738339356"
160,대전,리틀탭,http://naver.me/FJHivon,대전 유성구 노은로 150,탭룸,"스타우트, 임페리얼 스타우트 전문.",https://www.instagram.com/littletapbeer/,"127.31841412915024","36.37294547317908"
161,대전,크래프트피피,http://naver.me/Fa3SHZlb,대전 서구 대덕대로175번길 60 메르하우젠,탭룸,,https://www.instagram.com/craft_peepee/,"127.37418218950123","36.35072540530004"
162,대전,몰트몰트,http://naver.me/Fn2D7aMR,대전 서구 대덕대로161번길 13,탭룸,위스키 전문이지만 수제 맥주가 있어 다양하게 즐기기 좋음,https://www.instagram.com/malt_molt/,"127.37539148690568","36.34821968252696"
163,대전,공방브루,http://naver.me/FKKTirIP,대전 중구 중앙로 136-1 ,공방,맥주 공방 ,"https://www.instagram.com/daejeon_brew
","127.42496900003427","36.328107274053615"
164,대전,바틀샵OPENER,http://naver.me/xrP6K6ra,대전 유성구 관평1로 94-11,바틀샵,"와인, 맥주 종류 다양함.",https://www.instagram.com/in6970/,"127.39445455884497","36.421673750466844"
165,서울,유미마트,http://naver.me/xTeSsfWu,서울 강동구 진황도로27길 4 ,바틀샵,,https://www.instagram.com/yumimart1/,"127.13167631247484","37.53853235855719"
166,경기,댕크야드 레코드바,http://naver.me/xZD0zlCl,경기 하남시 미사강변중앙로 223 3층 304호,탭룸,,https://www.instagram.com/dankyard_bar_/,"127.18837958084629","37.56660660866212"
167,서울,Bel.G,http://naver.me/x1emIBof,서울 용산구 녹사평대로54길 23,탭룸,벨기에 맥주 위주로 판매하는 펍,https://www.instagram.com/bel.g_belgium/,"126.98860839621798","37.539164309123954"
168,서울,화이트래빗,http://naver.me/GXEt5ELM,서울 용산구 녹사평대로 242,탭룸,,https://www.instagram.com/white_rabbit_taphouse/,"126.98735146287946","37.539166391456"
169,부산,비어샵,http://naver.me/FKZXrWjs,"부산 부산진구 전포대로210번길 24-7 1층, 2층",탭룸,,https://www.instagram.com/beershop.kr/,"129.06684721535362","35.155193319003324"
170,서울,브루독 이태원,http://naver.me/58HF0Oka,서울 용산구 이태원로27나길 40 B104호,브루펍,브루독 맥주를 판매하는 브루펍,https://www.instagram.com/brewdogkr/,"126.99692253782409","37.534941427321"
171,경상,화이트래빗,http://naver.me/FIpPyQ6N,경남 창원시 마산합포구 오동북5길 23,탭룸,서점과 같은 분위기의 펍,,"128.57981953278812","35.207966451960694"
172,서울,에일크루브루잉,http://naver.me/FyeuMxcf,서울 마포구 모래내로 87,브루펍,,https://www.instagram.com/alecrew_brewing,"126.9124625159492","37.566681974911084"
173,경기,후안즈,http://naver.me/IFjFsf3w,경기 성남시 분당구 판교공원로2길 55 ,탭룸,,http://www.instagram.com/juan.augustinus,"127.09195979288691","37.389870692072535"
174,경기,"64앨리스탭하우스",http://naver.me/59j8AB00,경기 평택시 평택로64번길 21-5,탭룸,,,"127.08618608302154","36.99357388956807"
175,서울,엑셀플레이스,http://naver.me/FQ5u65s8,서울 성동구 고산자로 335,탭룸,"맥주 뿐만 아니라 위스키, 수제버거, 스테이크등을 판매하는 가게",https://www.instagram.com/excelplace_majang/,"127.03723359536166","37.56953230808869"
176,경기,노군맥주,http://naver.me/GyeyrTd1,경기 수원시 팔달구 아주로13번길 22 1층,탭룸,,https://www.instagram.com/nogoonbeer_1f,"127.04267819206676","37.276176514428606"
177,경기,노군맥주이층,http://naver.me/FS6Gj2S6,경기 수원시 영통구 아주로4번길 16 2층,탭룸,,http://instagram.com/nogoonbeer_2f,"127.04494931990328","37.275089372498705"
178,경기,베베양조,http://naver.me/G8U3OfIQ,경기 광주시 용샘길 35-1,브루펍,,http://www.beberbrewery.com/,"127.23245986077812","37.429471646521755"
179,전라,오매,http://naver.me/5wfrPGW6,전남 여수시 안심산길 23-1,브루펍,,https://www.instagram.com/ohmae_brewery/,"127.6438441003571","34.7590956025748"
180,경기,맥다방,http://naver.me/FHYMnQAH,경기 고양시 일산서구 고양대로672번길 21,탭룸,,https://www.instagram.com/macdabang/,"126.77025888025156","37.68322256729726"
181,경기,바틀5150,http://naver.me/FpXMKXkz,경기 양주시 장흥면 호국로 176-16,바틀샵,,https://www.instagram.com/bottle5150/,"126.94156247973768","37.715911021845024"
182,경기,몰티스 브루펍 ,http://naver.me/GnG0Lysk,경기 고양시 일산동구 하늘마을1로 16-10 에스플러스타워 1층,탭룸,,http://www.instagram.com/maltys_official,"126.78710693026287","37.6745564131723"
183,서울,개포술장,http://naver.me/FAr8GVuv,서울 강남구 논현로 4 ,바틀샵,,https://www.instagram.com/gaepo_sooljang/,"127.05088078354957","37.47204154543177"
